url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/guidance/visa-processing-times-applications-outside-the-uk,Visa processing times: applications outside the UK,detailed_guide,b7d859ec-44f7-4a36-add1-04273562d2bc,en,whitehall,2023-05-21T23:00:00.000Z,2025-10-22T09:33:13.000Z,,,7649,"Visas and entry clearance,Entering and staying in the UK,GOV.UK homepage",UK Visas and Immigration,UK Visas and Immigration,2022 to 2024 Sunak Conservative government,,,
https://www.gov.uk/guidance/prove-your-english-language-abilities-with-a-secure-english-language-test-selt,Prove your English language abilities with a secure English language test (SELT),detailed_guide,d205c6cd-5042-4fe2-9b9d-545d266fd6bc,en,whitehall,2020-09-10T23:00:00.000Z,2026-02-12T10:08:45.000Z,,,7321,"Permanent stay in the UK,Student visas,Citizenship,Visa applications,Settlement,Family visas,Visas and entry clearance,Work and investor visas,GOV.UK homepage,Entering and staying in the UK",UK Visas and Immigration,UK Visas and Immigration,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/guidance/electronic-travel-authorisation-eta-guide-for-dual-citizens,Electronic travel authorisation (ETA): guide for dual citizens,detailed_guide,8323cb7c-9bd7-4f37-8c1c-42f1e1b7b3a9,en,whitehall,2025-05-28T23:00:00.000Z,2026-01-26T16:00:23.000Z,,,6886,"Entering and staying in the UK,GOV.UK homepage,Society and culture,British citizenship ",UK Visas and Immigration,UK Visas and Immigration,2024 Starmer Labour government,,,
https://www.gov.uk/graduate-visa,Graduate visa,guide,1a06c4ea-fdb1-4a7b-baf5-3477714c974c,en,publisher,2021-07-01T08:00:03.263Z,2024-10-31T17:01:07.696Z,,,5791,"Visas and entry clearance,GOV.UK homepage,Entering and staying in the UK,Work and investor visas",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/guidance/check-when-you-can-get-an-electronic-travel-authorisation-eta,Check if you can get an electronic travel authorisation (ETA),detailed_guide,9107479a-903d-441f-9afa-c819bc46a803,en,whitehall,2024-09-09T23:00:00.000Z,2025-12-09T15:00:02.000Z,,,5329,"GOV.UK homepage,Entering and staying in the UK",UK Visas and Immigration,UK Visas and Immigration,2024 Starmer Labour government,,,
https://www.gov.uk/english-language,Prove your knowledge of English for citizenship and settling,guide,aea283d2-4f4f-43dd-b42d-f794ce4ffd65,en,publisher,2014-02-18T12:46:00.000Z,2014-12-01T16:52:20.000Z,,,5039,"Settlement,British citizenship ,Citizenship,Entering and staying in the UK,Permanent stay in the UK,GOV.UK homepage,Society and culture",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/indefinite-leave-to-remain-in-the-uk,Indefinite leave to remain in the UK: your rights and status,detailed_guide,acadabdc-c1ae-42e8-a666-1728f91f4d21,en,whitehall,2019-06-23T23:00:00.000Z,2025-06-01T23:01:06.000Z,,,4986,"Permanent stay in the UK,GOV.UK homepage,Settlement,Entering and staying in the UK",UK Visas and Immigration,UK Visas and Immigration,2016 to 2019 May Conservative government,,,
https://www.gov.uk/guidance/visiting-the-uk-as-an-eu-eea-or-swiss-citizen,"Visiting the UK as an EU, EEA or Swiss citizen",detailed_guide,5e783b93-9893-4cdd-972a-306c44656a93,en,whitehall,2020-12-31T00:00:00.000Z,2026-02-09T16:08:54.000Z,,,4857,"Government,Visit and transit visas,Brexit,Entering and staying in the UK,Visas and entry clearance,GOV.UK homepage,Travel and identity documents for foreign nationals","Department for Culture, Media and Sport","Department for Culture, Media and Sport,Department for Environment, Food & Rural Affairs,Department for Transport,Home Office,Department for Digital, Culture, Media & Sport,UK Visas and Immigration",2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/eu-eea,Countries in the EU and EEA,answer,e675301d-b593-4736-b216-bb9369edf04d,en,publisher,2014-01-23T16:31:20.000Z,2015-07-24T11:35:41.000Z,,,4789,"Entering and staying in the UK,Rights of EU and EEA citizens,Rights of foreign nationals in the UK,GOV.UK homepage,Countries (Living In),Living abroad,Going and being abroad",Government Digital Service,"HM Passport Office,UK Visas and Immigration",,,,
https://www.gov.uk/biometric-residence-permits,Biometric residence permits (BRPs),answer,6bcb87c7-0d26-4fb0-8079-c2dfa09220f3,en,publisher,2014-01-17T14:10:44.000Z,2024-10-31T17:00:02.684Z,,,4566,"GOV.UK homepage,Entering and staying in the UK,Travel and identity documents for foreign nationals",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/types-of-british-nationality,Types of British nationality,guide,6b98928a-0261-4b7b-bbf8-a538955120a7,en,publisher,2014-01-22T14:30:34.000Z,2014-12-22T12:05:03.000Z,,,4450,"Entering and staying in the UK,Society and culture,British citizenship ,Permanent stay in the UK,GOV.UK homepage,Citizenship",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/guidance/eu-settlement-scheme-evidence-of-uk-residence,EU Settlement Scheme: evidence of UK residence,detailed_guide,1d1ec077-2f48-4289-a6e2-41a7a1647afd,en,whitehall,2018-10-22T15:15:00.000Z,2022-09-20T16:08:27.000Z,,,4298,"GOV.UK homepage,Government,Rights of EU and EEA citizens,Rights of foreign nationals in the UK,Entering and staying in the UK,Brexit",UK Visas and Immigration,UK Visas and Immigration,2016 to 2019 May Conservative government,,,
https://www.gov.uk/change-circumstances-visa-brp,Report a change of circumstances if you have a visa or expired BRP ,guide,6d76323e-808a-42ab-a5a2-ed17c8f2a828,en,publisher,2014-02-12T14:13:26.000Z,2024-10-31T17:01:09.130Z,,,4124,"Travel and identity documents for foreign nationals,Entering and staying in the UK,GOV.UK homepage,Visas and entry clearance",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/using-the-uk-immigration-id-check-app,Using the ‘UK Immigration: ID Check’ app,detailed_guide,f8e073f9-fad1-435a-bdc0-765f3431d3cf,en,whitehall,2020-10-04T23:00:00.000Z,2026-01-26T16:11:01.000Z,,,4067,"Rights of foreign nationals in the UK,Entering and staying in the UK,GOV.UK homepage",UK Visas and Immigration,UK Visas and Immigration,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/student-visa,Student visa ,guide,c0a2a4d9-8d28-449f-8ccb-4c2b7f6e9c0f,en,publisher,2014-01-29T16:10:58.000Z,2024-10-31T17:00:02.947Z,,,3934,"Student visas,GOV.UK homepage,Visas and entry clearance,Entering and staying in the UK",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/family-permit,Apply for an EU Settlement Scheme family permit to join family in the UK,guide,686e6d1d-78c2-4c9d-b863-be5c5d8ed787,en,publisher,2014-01-29T15:43:49.000Z,2014-12-31T11:06:34.000Z,,,3823,"Family visas,Government,Brexit,Entering and staying in the UK,Visas and entry clearance,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/apply-home-office-travel-document/refugee-travel-document,Apply for a Home Office travel document: Refugee travel document ,guide,bc657011-6bf8-4f90-aa89-8f2500e55421,en,publisher,2014-01-31T16:24:23.000Z,2024-11-20T11:38:24.706Z,,,3402,"GOV.UK homepage,Entering and staying in the UK,Travel and identity documents for foreign nationals",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/cancel-visa,"Cancel your visa, immigration or citizenship application",guide,f4c6ac13-1769-4e0a-aba5-46eedaab2bcf,en,publisher,2014-02-21T20:26:58.000Z,2015-04-01T13:00:36.000Z,,,3393,"GOV.UK homepage,Citizenship,Visas and entry clearance,Entering and staying in the UK,Settlement,Permanent stay in the UK,Visa applications",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/long-residence,Indefinite leave to remain if you’ve been in the UK for 10 years (long residence),guide,5b1cc445-222b-499c-b042-32cc84c8f52c,en,publisher,2014-02-07T15:09:53.000Z,2024-10-31T17:00:28.782Z,,,3364,"Permanent stay in the UK,GOV.UK homepage,Entering and staying in the UK,Settlement",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/healthcare-immigration-application,Pay for UK healthcare as part of your immigration application,guide,b3fb8ff7-ac2e-4440-8c0f-227eb038c436,en,publisher,2015-04-06T00:01:03.000Z,2024-11-28T10:11:14.171Z,,,3259,"Tuberculosis (TB) testing,Entering and staying in the UK,GOV.UK homepage,Visas and entry clearance",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/find-an-immigration-adviser,Find an immigration adviser,guide,07cfa36e-cf61-4358-a2b4-44518499d288,en,publisher,2014-09-15T13:47:25.000Z,2024-10-18T10:40:07.949Z,,,3205,"Entering and staying in the UK,Immigration adviser services,GOV.UK homepage",Government Digital Service,"Immigration Advice Authority,Office of the Immigration Services Commissioner",,,,
https://www.gov.uk/uk-visa-sponsorship-employers,UK visa sponsorship for employers,guide,84914675-3c9f-462b-89f7-5e54257c63f4,en,publisher,2012-07-03T15:30:10.000Z,2024-11-11T10:12:22.327Z,,,3189,"Visas and entry clearance,GOV.UK homepage,Visa sponsorship,Entering and staying in the UK",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/apply-citizenship-british-parent,Apply for citizenship if you have a British parent,guide,937f6074-d3eb-43c8-a01e-3b9e5a0cf065,en,publisher,2018-07-17T10:11:38.934Z,2018-09-12T15:33:56.754Z,,,3169,"Permanent stay in the UK,Citizenship,GOV.UK homepage,Entering and staying in the UK",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/return-home-voluntarily,Get help to return home if you’re a migrant in the UK,guide,2584a0f2-05de-4e4d-9a17-d9ab4cad1210,en,publisher,2014-11-10T16:32:06.000Z,2024-11-22T11:32:03.501Z,,,3131,"GOV.UK homepage,Refugees, asylum and human rights,Entering and staying in the UK,Immigration offences",Government Digital Service,Home Office,,,,
https://www.gov.uk/guidance/applying-to-the-ukraine-permission-extension-scheme,Applying to the Ukraine Permission Extension scheme,detailed_guide,77827ec2-f60d-4ab8-88f1-ed85dc444948,en,whitehall,2024-11-26T00:00:00.000Z,2025-12-04T13:35:24.000Z,,,3098,"Visas and entry clearance,Entering and staying in the UK,GOV.UK homepage",Home Office,"Home Office,UK Visas and Immigration",2024 Starmer Labour government,,,
https://www.gov.uk/guidance/academic-technology-approval-scheme,Academic Technology Approval Scheme (ATAS),detailed_guide,5dbc0b66-7631-11e4-a3cb-005056011aef,en,whitehall,2013-03-25T00:00:00.000Z,2025-11-26T14:13:47.000Z,,,3053,"Entering and staying in the UK,Visas and entry clearance,Student visas,GOV.UK homepage","Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",2010 to 2015 Conservative and Liberal Democrat coalition government,,,
https://www.gov.uk/apply-citizenship-spouse,Apply for citizenship if your spouse is a British citizen,guide,169e0c77-773f-4a05-b576-d008fcf60a45,en,publisher,2018-07-17T10:21:03.144Z,2025-01-16T09:00:05.842Z,,,2904,"Citizenship,Entering and staying in the UK,Permanent stay in the UK,GOV.UK homepage",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/tb-test-visa,Tuberculosis tests for visa applicants,guide,fa7bb7fd-b4bc-45a2-8958-1f0bfa4c3e56,en,publisher,2014-02-13T15:53:01.000Z,2015-01-07T15:58:35.000Z,,,2405,"Entering and staying in the UK,GOV.UK homepage,Visas and entry clearance",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/bring-pet-to-great-britain,"Bringing your pet dog, cat or ferret to Great Britain",guide,bc210087-fe91-4e48-8214-0d5273a099d5,en,publisher,2011-07-28T14:59:32.000Z,2024-10-24T15:00:05.153Z,,,2375,"GOV.UK homepage,Entering and staying in the UK,Going and being abroad,Pets,Travel abroad,Wildlife, animals, biodiversity and ecosystems,Environment",Government Digital Service,"Department for Environment, Food & Rural Affairs,Foreign, Commonwealth & Development Office",,,,
https://www.gov.uk/immigration-asylum-tribunal,Appeal against a visa or immigration decision,guide,3e13f00f-c6f8-43e8-ab51-2e75e569b76a,en,publisher,2012-07-11T15:13:38.000Z,2014-12-19T15:25:50.000Z,,,2123,"Refugees, asylum and human rights,Entering and staying in the UK,GOV.UK homepage,Courts, sentencing and tribunals,Visas and entry clearance,Crime, justice and law,Asylum decisions and appeals,Visa refusals and appeals",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/immigration-bail-digital-reporting,Immigration bail: digital reporting,detailed_guide,e2d39bc0-079e-4f6a-8e5d-31a82c80f934,en,whitehall,2021-10-25T23:00:00.000Z,2025-09-30T13:22:54.000Z,,,2093,"Entering and staying in the UK,GOV.UK homepage,Immigration offences",Home Office,Home Office,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/transit-visa,Visa to pass through the UK in transit,guide,f9d0c33a-5b1f-4ec3-8226-5eb665f33b54,en,publisher,2014-02-12T14:19:10.000Z,2024-11-13T10:37:08.180Z,,,2045,"Entering and staying in the UK,Visas and entry clearance,GOV.UK homepage,Visit and transit visas",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/british-passport-eligibility,British passport eligibility,answer,dac49c88-3e53-4816-a61b-c0283944026e,en,publisher,2012-10-11T14:43:14.000Z,2014-12-22T20:33:26.000Z,,,1685,"Citizenship,Passports,Society and culture,Entering and staying in the UK,British citizenship ,Permanent stay in the UK,Going and being abroad,GOV.UK homepage",Government Digital Service,"HM Passport Office,Home Office",,,,
https://www.gov.uk/settlement-refugee-or-humanitarian-protection,"Indefinite leave to remain (permission to stay as a refugee, humanitarian protection, discretionary or section 67 leave)",guide,ec267d5b-35ee-41f1-9b50-33c4f86dfce8,en,publisher,2014-02-21T15:43:53.000Z,2025-01-30T14:15:45.251Z,,,1635,"Entering and staying in the UK,Permanent stay in the UK,Settlement,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/apply-for-a-visa-under-the-ukraine-sponsorship-scheme,Apply for a visa under the Homes for Ukraine Sponsorship Scheme,detailed_guide,54e90118-583c-4eb1-b8d6-6976ff178b81,en,whitehall,2022-03-18T00:00:00.000Z,2025-11-05T17:38:38.000Z,,,1596,"GOV.UK homepage,Entering and staying in the UK",UK Visas and Immigration,"UK Visas and Immigration,Home Office",2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/citizenship-ceremonies,Citizenship ceremonies,answer,44ad5385-17fe-4f5d-9cbd-ceedd86bc51a,en,publisher,2018-07-17T10:02:04.578Z,2020-03-31T13:19:37.031Z,,,1559,"GOV.UK homepage,Permanent stay in the UK,Citizenship,Entering and staying in the UK",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/marriage-visa,Marriage Visitor visa,guide,b589f602-7427-4ac0-b220-ee35f711548b,en,publisher,2014-02-05T15:41:42.000Z,2015-02-05T17:08:15.000Z,,,1545,"Entering and staying in the UK,Visit and transit visas,Visas and entry clearance,GOV.UK homepage,Family visas",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/support-for-family-members-of-british-nationals-in-ukraine-and-ukrainian-nationals-in-ukraine-and-the-uk,UK visa support for Ukrainian nationals,detailed_guide,cd539d2b-aade-4495-bcad-7b8ab963270b,en,whitehall,2022-02-17T00:00:00.000Z,2025-08-28T11:20:37.000Z,,,1523,"Coming to the UK,Visas and entry clearance,Help and services around the world,Coming to the UK from Ukraine,UK help and services in Ukraine,GOV.UK homepage,Entering and staying in the UK",UK Visas and Immigration,"UK Visas and Immigration,Home Office",2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/get-replacement-citizenship-certificate,Replace or correct a UK citizenship certificate,answer,59b02051-181e-4b2a-b4c1-9362ce882784,en,publisher,2013-01-14T17:07:04.000Z,2015-04-24T14:05:17.000Z,,,1505,"Society and culture,Entering and staying in the UK,GOV.UK homepage,Permanent stay in the UK,Citizenship,British citizenship ",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/ukeuropean-applicant-transfer-scheme,UK/European Applicant Transfer Scheme,detailed_guide,e62817ae-2c83-42ce-8252-ea0d9064061d,en,whitehall,2025-08-06T23:00:00.000Z,2025-12-02T15:02:05.000Z,,,1471,"GOV.UK homepage,Entering and staying in the UK",Home Office,"Home Office,UK Visas and Immigration",2024 Starmer Labour government,,,
https://www.gov.uk/guidance/vat-guide-notice-700,VAT guide (VAT Notice 700),detailed_guide,8cea9cfb-2067-45bb-9938-6d2d14ff842a,en,whitehall,2014-12-17T00:00:00.000Z,2025-09-18T10:14:22.000Z,,,1454,"GOV.UK homepage,Entering and staying in the UK,Accounting for VAT,Dealing with HMRC,VAT,Business tax,Charging VAT,Money",HM Revenue & Customs,HM Revenue & Customs,2010 to 2015 Conservative and Liberal Democrat coalition government,,,
https://www.gov.uk/renounce-british-nationality,Give up (renounce) British citizenship or nationality,guide,481de93a-7f31-4945-95e3-a1607a46860c,en,publisher,2014-01-22T14:34:42.000Z,2015-04-05T23:02:11.000Z,,,1434,"Entering and staying in the UK,Citizenship,GOV.UK homepage,Settlement,Permanent stay in the UK",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/application-for-transfer-of-residence-relief-tor1,Application for transfer of residence relief (ToR1),detailed_guide,2d70e4c4-a535-4b05-91a1-24fd165cdcaa,en,whitehall,2020-12-31T00:00:00.000Z,2025-11-12T11:34:21.000Z,,,1388,"GOV.UK homepage,Entering and staying in the UK",HM Revenue & Customs,HM Revenue & Customs,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/apply-citizenship-born-uk,Apply for citizenship if you were born in the UK,guide,36e7812c-48e8-442d-805f-8abecb5eb964,en,publisher,2018-07-17T10:04:18.040Z,2018-07-17T10:28:18.209Z,,,1370,"Permanent stay in the UK,Entering and staying in the UK,GOV.UK homepage,Citizenship",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/guidance/eu-settlement-scheme-evidence-of-relationship-to-an-eu-citizen,EU Settlement Scheme: evidence of family relationship,detailed_guide,2c95c3ae-f175-4db4-8486-709a180245ab,en,whitehall,2019-03-22T00:00:00.000Z,2024-08-02T11:26:39.000Z,,,1365,"GOV.UK homepage,Rights of nationals from outside the EU and EEA,Rights of EU and EEA citizens,Rights of foreign nationals in the UK,Entering and staying in the UK",UK Visas and Immigration,"UK Visas and Immigration,Home Office",2016 to 2019 May Conservative government,,,
https://www.gov.uk/visas-when-you-separate-or-divorce,Visas when you separate or divorce,guide,e43c7691-9414-4689-a6f4-0332c05a7a88,en,publisher,2014-09-10T17:17:45.000Z,2014-11-25T14:35:34.000Z,,,1253,"Life circumstances,Family visas,Visas and entry clearance,Visa sponsorship,Getting separated or divorced,Marriage, civil partnership and divorce,Entering and staying in the UK,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/uploading-evidence-as-part-of-your-visa-application,Uploading evidence as part of your visa application,detailed_guide,90523c7c-2ffd-43dd-be41-533826f4394c,en,whitehall,2022-02-10T16:17:00.000Z,2022-11-01T15:01:18.000Z,,,1245,"Entering and staying in the UK,Visas and entry clearance,GOV.UK homepage",UK Visas and Immigration,UK Visas and Immigration,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/report-suspicious-emails-websites-phishing,Avoid and report internet scams and phishing,guide,689a076c-3fcf-4cce-8298-1153c65b7640,en,publisher,2014-02-28T16:31:31.000Z,2024-10-11T11:25:30.876Z,,,1146,"Money,Visas and entry clearance,Government,Dealing with HMRC,Entering and staying in the UK,Online safety,Phishing and scams,GOV.UK homepage,Society and culture,Democracy",Government Digital Service,"Department of Health and Social Care,Driver and Vehicle Licensing Agency,HM Revenue & Customs,National Cyber Security Centre,UK Border Agency",,,,
https://www.gov.uk/visa-documents-returned,"Get your visa, immigration or citizenship documents back",answer,240281d1-4e92-428b-a784-9fa085c44777,en,publisher,2014-01-31T16:24:50.000Z,2025-01-07T14:00:00.654Z,,,1094,"GOV.UK homepage,Entering and staying in the UK,Help and services around the world,Travel and identity documents for foreign nationals,Coming to the UK",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/entering-the-uk-exemptions-to-controls,Entering the UK: exemptions to controls,detailed_guide,84639159-5754-425b-be47-b014546e1ffb,en,whitehall,2025-04-01T23:00:00.000Z,2026-01-28T10:00:06.000Z,,,1082,"GOV.UK homepage,Border control,Visas and entry clearance,Entering and staying in the UK",Home Office,Home Office,2024 Starmer Labour government,,,
