url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/guidance/proving-your-identity-with-the-govuk-one-login-app,Proving your identity with the GOV.UK One Login app,detailed_guide,bd483a6b-d0ae-46ca-9a36-8bad3ba300f2,en,whitehall,2025-06-08T23:00:00.000Z,2025-10-28T10:59:33.000Z,,,74949,"Digital security,GOV.UK homepage,Government,Identity assurance,Government technology and digital services",Government Digital Service,Government Digital Service,2024 Starmer Labour government,,,
https://www.gov.uk/guidance/linking-the-govuk-id-check-app-to-govuk,Linking the GOV.UK ID Check app to GOV.UK,detailed_guide,f1e7fd53-d943-4eb5-ab9c-485d9689dd86,en,whitehall,2024-07-15T23:00:00.000Z,2025-11-28T14:04:27.000Z,,,31871,"Government technology and digital services,GOV.UK homepage,Digital security,Identity assurance,Government",Government Digital Service,Government Digital Service,2024 Starmer Labour government,,,
https://www.gov.uk/settled-status-eu-citizens-families/switch-from-presettled-status-to-settled-status,Apply to the EU Settlement Scheme (settled and pre-settled status): Convert pre-settled status to settled status,guide,91504a10-f697-42a3-a779-f238b4955ea9,en,publisher,2018-06-21T12:15:03.344Z,2024-10-31T17:00:11.987Z,,,18541,"Government,Rights of EU and EEA citizens,GOV.UK homepage,Help and services around the world,Brexit,Entering and staying in the UK,Rights of foreign nationals in the UK",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/call-charges,Call charges and phone numbers,answer,0b0ff1cc-1532-4cd3-836b-0b7ab0359a4b,en,publisher,2012-10-17T10:02:46.000Z,2015-05-06T14:32:09.000Z,,,15329,"Democracy,GOV.UK homepage,Corporate information,Government",Government Digital Service,Ofcom,,,,
https://www.gov.uk/electoral-register/view-electoral-register,The electoral register and the 'open register': View the electoral register,guide,8c0c7a20-c4ae-4935-9309-ac4e7da42a62,en,publisher,2012-01-09T12:15:26.000Z,2024-11-27T12:25:45.287Z,,,14682,"Democracy,GOV.UK homepage,Voting,Government",Government Digital Service,"Ministry of Housing, Communities and Local Government",,,,
https://www.gov.uk/guidance/get-a-goods-movement-reference,Create a goods movement reference,detailed_guide,d135b50d-b519-4694-8f5d-393a6345fd9b,en,whitehall,2020-12-23T00:00:00.000Z,2025-08-31T23:15:02.000Z,,,12901,"Business and industry,Trade and investment,Brexit,Government,GOV.UK homepage,Customs declarations, duties and tariffs (import and export)",HM Revenue & Customs,HM Revenue & Customs,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/guidance/download-the-govuk-app,Download the GOV.UK app,detailed_guide,c9e9a053-dd5d-475c-b931-d2c03293c6c0,en,whitehall,2025-06-30T23:00:00.000Z,2026-02-13T11:22:39.000Z,,,11520,"Government,Government technology and digital services,GOV.UK services,GOV.UK homepage",Government Digital Service,Government Digital Service,2024 Starmer Labour government,,,
https://www.gov.uk/guidance/using-the-govuk-id-check-app,Using the GOV.UK ID Check app,detailed_guide,a08de54b-b7ba-44a8-8c4b-7aa923d6296c,en,whitehall,2023-10-25T23:00:00.000Z,2025-11-28T14:00:54.000Z,,,11332,"Digital security,Identity assurance,Government,Government technology and digital services,GOV.UK homepage",Government Digital Service,Government Digital Service,2022 to 2024 Sunak Conservative government,,,
https://www.gov.uk/driving-abroad/get-an-idp,Driving abroad: Get an international driving permit (IDP),guide,e4d06cb9-9e2e-4e82-b802-0aad013ae16c,en,publisher,2011-12-01T12:07:14.000Z,2025-01-29T11:31:47.451Z,,,6947,"Driving licences,Going and being abroad,GOV.UK homepage,Brexit,Driving and road transport,Transport,Government,Driving abroad,Living abroad",Government Digital Service,"Department for Transport,Driver and Vehicle Licensing Agency",,,,
https://www.gov.uk/guidance/changing-the-sign-in-details-for-your-govuk-one-login,Changing the sign in details for your GOV.UK One Login,detailed_guide,2c8718ac-e053-4cb0-a224-6b233fd247d1,en,whitehall,2023-10-25T23:00:00.000Z,2026-02-06T15:42:27.000Z,,,6248,"Government technology and digital services,GOV.UK homepage,Identity assurance,Digital security,Government",Government Digital Service,Government Digital Service,2022 to 2024 Sunak Conservative government,,,
