url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/standard-visitor/apply-standard-visitor-visa,Visit the UK as a Standard Visitor: Apply for a Standard Visitor visa,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,37076,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/standard-visitor,Visit the UK as a Standard Visitor,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,36137,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/call-charges,Call charges and phone numbers,answer,0b0ff1cc-1532-4cd3-836b-0b7ab0359a4b,en,publisher,2012-10-17T10:02:46.000Z,2015-05-06T14:32:09.000Z,,,15329,"Democracy,GOV.UK homepage,Corporate information,Government",Government Digital Service,Ofcom,,,,
https://www.gov.uk/standard-visitor/visit-on-business,Visit the UK as a Standard Visitor: Visit on business,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,3102,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/request-your-personal-information-from-the-department-for-work-and-pensions,Request your personal information from the Department for Work and Pensions,detailed_guide,e1443c58-0892-4603-b33c-99dc0a25e726,en,whitehall,2018-05-24T23:00:00.000Z,2025-10-06T10:47:55.000Z,,,2791,"Corporate information,Working, jobs and pensions,Benefits entitlement,Work,GOV.UK homepage,Welfare",Department for Work and Pensions,Department for Work and Pensions,2016 to 2019 May Conservative government,,,
https://www.gov.uk/guidance/preparing-for-the-civil-service-judgement-test,Preparing for the Civil Service Judgement Test,detailed_guide,5ff8cb19-aac5-4b9d-b556-735973843326,en,whitehall,2019-07-09T23:00:00.000Z,2024-05-24T09:53:15.000Z,,,1805,"Corporate information,GOV.UK homepage",Government People Group,"Government People Group,Civil Service Resourcing,Government Recruitment Service",2016 to 2019 May Conservative government,,,
https://www.gov.uk/guidance/preparing-for-the-civil-service-verbal-and-numerical-tests,Preparing for the Civil Service Verbal and Numerical tests,detailed_guide,584a7ada-34c8-4045-b0fd-daacc0b94e15,en,whitehall,2019-10-31T00:00:00.000Z,2025-05-14T11:07:42.000Z,,,1762,"Corporate information,GOV.UK homepage",Cabinet Office,Cabinet Office,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/standard-visitor/if-youre-under-18,Visit the UK as a Standard Visitor: If you're under 18,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,1450,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/standard-visitor/visit-to-study,Visit the UK as a Standard Visitor: Visit to study,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,1096,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/standard-visitor/paid-engagement-event,Visit the UK as a Standard Visitor: Visit for a paid engagement or event,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,1092,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/civil-service-online-tests,Civil Service online tests,detailed_guide,a6a4490e-6217-4f0a-904e-0a469d140985,en,whitehall,2019-11-07T00:00:00.000Z,2026-01-27T16:49:51.000Z,,,1017,"Corporate information,GOV.UK homepage",Civil Service Resourcing,Civil Service Resourcing,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/standard-visitor/visit-as-an-academic,Visit the UK as a Standard Visitor: Visit as an academic,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,982,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/contact-the-voa,Contact the VOA,detailed_guide,3ccce3fc-2f85-4461-bb37-7e50a67e919c,en,whitehall,2024-11-12T00:00:00.000Z,2025-10-06T14:04:24.000Z,,,866,"GOV.UK homepage,Corporate information",Valuation Office Agency,Valuation Office Agency,2024 Starmer Labour government,,,
https://www.gov.uk/standard-visitor/extend-your-stay,Visit the UK as a Standard Visitor: When you can extend your stay,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,788,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/contact-dfe,Contact the Department for Education (DfE),answer,0339673e-0499-468c-9ecc-610362f6a7ba,en,publisher,2016-03-02T13:05:14.000Z,2024-10-25T16:00:01.536Z,,,511,"Corporate information,GOV.UK homepage",Government Digital Service,Department for Education,,,,
https://www.gov.uk/standard-visitor/visit-for-medical-reasons,Visit the UK as a Standard Visitor: Visit for medical reasons,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,446,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/ofsted-academy,Ofsted Academy,detailed_guide,ef45b2a8-3cd7-4fa3-9840-7bcae94402e2,en,whitehall,2024-11-05T00:00:00.000Z,2025-12-19T12:10:29.000Z,,,441,"GOV.UK homepage,Corporate information",Ofsted,Ofsted,2024 Starmer Labour government,,,
https://www.gov.uk/guidance/ministry-of-defence-police-misconduct-hearings,Ministry of Defence Police: misconduct hearings,detailed_guide,cc1f1aa2-9085-4d1d-91bc-bc90b7ac9961,en,whitehall,2017-06-11T23:00:00.000Z,2026-02-16T13:00:44.000Z,,,381,"Corporate information,GOV.UK homepage,Crime, justice and law,Defence and armed forces",Ministry of Defence,Ministry of Defence,2016 to 2019 May Conservative government,,,
https://www.gov.uk/guidance/preparing-for-the-civil-service-work-strengths-test,Preparing for the Civil Service Work Strengths Test,detailed_guide,bf518264-0eef-4a7d-bf27-fb0fea74323f,en,whitehall,2020-08-31T23:00:00.000Z,2025-05-14T11:02:04.000Z,,,313,"GOV.UK homepage,Corporate information",Cabinet Office,Cabinet Office,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/guidance/living-in-italy,Living in Italy,detailed_guide,5d8f119e-7631-11e4-a3cb-005056011aef,en,whitehall,2013-03-22T00:00:00.000Z,2025-12-11T13:41:29.000Z,,,258,"GOV.UK homepage,Living abroad,Help and services around the world,UK help and services in Italy,Corporate information,Going and being abroad,British nationals overseas,Living in Italy,Travel abroad","Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",2010 to 2015 Conservative and Liberal Democrat coalition government,,,
https://www.gov.uk/guidance/contact-the-ministry-of-defence,Contact the Ministry of Defence,detailed_guide,d6ae542f-ec69-4eed-9b4a-5bea79d5c842,en,whitehall,2025-07-04T16:11:00.000Z,2026-01-22T16:17:34.000Z,,,226,"Defence and armed forces,GOV.UK homepage,Corporate information",Ministry of Defence,Ministry of Defence,2024 Starmer Labour government,,,
https://www.gov.uk/guidance/contact-the-ministry-of-housing-communities-and-local-government,"Contact the Ministry of Housing, Communities and Local Government",detailed_guide,6fc2fd7b-d56e-4082-9073-7001a0b3a633,en,whitehall,2024-09-30T23:00:00.000Z,2024-09-30T23:00:00.000Z,,,184,"GOV.UK homepage,Corporate information","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government",2024 Starmer Labour government,,,
https://www.gov.uk/guidance/tell-the-cma-about-a-competition-or-market-problem,Report a problem to the CMA,detailed_guide,46708567-70a6-4f20-8257-6c222b3d8cb3,en,whitehall,2016-01-14T00:00:00.000Z,2025-10-07T10:00:26.000Z,,,183,"Corporate information,Competition,Business and industry,Business regulation,GOV.UK homepage",Competition and Markets Authority,Competition and Markets Authority,2015 to 2016 Cameron Conservative government,,,
https://www.gov.uk/guidance/contact-the-cabinet-office,Contact the Cabinet Office,detailed_guide,4f38c171-cc94-41c9-8283-eea4c5bb6f67,en,whitehall,2022-06-27T23:00:00.000Z,2025-10-07T10:17:39.000Z,,,156,"Corporate information,GOV.UK homepage",Cabinet Office,Cabinet Office,2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/guidance/provide-information-about-your-banking-and-payments-to-dfe,Provide information about your banking and payments to DfE,detailed_guide,9bad2d0f-8b41-4d4a-8370-a625ba2eae3e,en,whitehall,2018-06-28T23:00:00.000Z,2024-04-12T09:01:51.000Z,,,130,"Corporate information,GOV.UK homepage,School and academy financial management and assurance,Education, training and skills,Money",Department for Education,Department for Education,2016 to 2019 May Conservative government,,,
